,Document Title,Publication Year,Publication Title,Authors,Volume,Issue,Start Page,End Page,Abstract,DOI,PDF Link,Author Keywords,IEEE Terms,Article Citation Count,Reference Count,Document Identifier,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,CLOSE: A costless service offloading strategy for distributed edge cloud,2018,2018 15th IEEE Annual Consumer Communications & Networking Conference (CCNC),F. Slim; F. Guillemin; Y. Hadjadj-Aoul,,,1,6,"New bandwidth-intensive and time-constrained services in 5G networks combined with network function virtualization is pushing network operators to deploy distributed cloud infrastructures at the edge of the network. Allocating resources in capacity-limited infrastructures raises new challenges, which have not really been so far considered in the cloud literature. In this context, we investigate placement and offloading strategies of constrained services. We set design principles of future distributed edge clouds in order to meet application requirements. We precisely introduce a costless distributed resource allocation algorithm, named CLOSE, which considers local information only. We compare via simulations the performance of CLOSE against those obtained by using mechanisms proposed in the literature, notably the Tricircle project within OpenStack. It turns out that the proposed distributed algorithm yields better performance while requiring less overhead.",10.1109/CCNC.2018.8319276,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8319276,,Data centers;Cloud computing;Resource management;Time factors;Bandwidth;Virtual machining;Optimization,1,14,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Virtual Network Survivability Through Joint Spare Capacity Allocation and Embedding,2018,IEEE Journal on Selected Areas in Communications,N. Shahriar; S. R. Chowdhury; R. Ahmed; A. Khan; S. Fathi; R. Boutaba; J. Mitra; L. Liu,36,3,502,518,"A key challenge in network virtualization is to efficiently map a virtual network (VN) on a substrate network (SN), while accounting for possible substrate failures. This is known as the survivable VN embedding (SVNE) problem. The state-of-the-art literature has studied the SVNE problem from infrastructure providers' (InPs') perspective, i.e., provisioning backup resources in the SN. A rather unexplored solution spectrum is to augment the VN with sufficient spare backup capacity to survive substrate failures and embed the resulting VN accordingly. Such augmentation enables InPs to offload failure recovery decisions to the VN operator, thus providing more flexible VN management. In this paper, we study the problem of jointly optimizing spare capacity allocation in a VN and embedding the VN to guarantee full bandwidth in the presence of multiple substrate link failures. We formulate the optimal solution to this problem as a quadratic integer program that we transform into an integer linear program. We also propose a heuristic algorithm to solve larger instances of the problem. Based on analytical study and simulation, our key findings are: 1) provisioning shared backup resources in the VN can yield ~33% more resource efficient embedding compared to doing the same at the SN level and 2) our heuristic allocates ~21% extra resources compared to the optimal, while executing several orders of magnitude faster.",10.1109/JSAC.2018.2815430,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8314665,Network virtualization;survivability;virtual network embedding;spare capacity;joint optimization,Substrates;Resource management;Indium phosphide;III-V semiconductor materials;Optimization;Virtualization;Electronic mail,5,52,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC5,I/O Virtualization Design of FCoE Adapter,2015,2015 International Conference on Network and Information Systems for Computers,J. Guo; S. Zou; P. Lu; J. Chen,,,18,21,"Converged Enhanced Ethernet (CEE) presents challenges to PCIe devices. The single-root I/O virtualization (SR-IOV) standard allows a PCIe device to be efficiently shared among Virtual Machines (VMs), without performance loss. We propose a design method for FCoE adapter. Based on the designed allocation scheme for Receive and Transmit queues, we put forward an allocation model from Virtual Functions (VFs) to VMs. This model can not only solve the problem of the limited number of VFs, but also distribute network bandwidth according to the VM's needs. In addition, we implement a communication mechanism between Physical Function (PF) Driver and VF Driver based on the inter-domain communication mechanism in Xen. This design scheme we proposed will not only make full use of hardware resources to meet the requirement of I/O performance in CEE, but also provide a method for PF Driver-VF Driver communication to reduce the complexity of hardware design.",10.1109/ICNISC.2015.78,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7311808,FCoE;I/O Virtualization;Virtual Machine;SR-IOV;Xenstore,Virtualization;Hardware;Bandwidth;Resource management;Virtual machining;Performance evaluation;Adaptation models,,11,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,A dynamic resource defragmentation scheme for virtualized SDN-enabled substrate networks,2017,2017 IEEE 6th International Conference on Cloud Networking (CloudNet),A. F. S. Tegueu; S. Abdellatif; T. Villemur; P. Berthou,,,1,6,"Virtual network embedding (VNE) was subject to extensive research which lead to the emergence of a large number of efficient online VNE algorithms. When virtual networks (VNs) arrive and depart over time, the substrate network can easily drift into an inefficient configuration, where resources are increasingly fragmented causing a VN request rejection although cumulatively, there are enough available resources. The ability to reallocate running VNs clearly leads to a better resource utilization. In this paper, we propose ""Garbage Collector""(GC), a novel network control program for dynamic and online resource management in virtualized SDN-enabled substrates. GC efficiently addresses the fragmentation problem by performing selective migration. Simulations show that GC clearly improves acceptance ratio of VNE algorithms. They also reveal that, it outperforms some existing works from the literature by increasing the VN acceptance ratio by more than 10%.",10.1109/CloudNet.2017.8071530,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8071530,SDN;Resource management;VNE;Virtual Links Mapping;Resource defragmentation,Substrates;Resource management;Bandwidth;Dynamic scheduling;Indexes;Switches;Heuristic algorithms,,13,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,Towards Accurate and Scalable Performance Prediction for Automated Service Design in NFV,2019,2019 16th IEEE Annual Consumer Communications & Networking Conference (CCNC),F. Beye; Y. Shinohara; H. Shimonishi,,,1,7,"Automatizing the process of designing communication services in network function virtualization (NFV) is important because it may reduce provisioning time and lead to more efficient designs. The design process involves solving performance constraints imposed by service level agreements (SLAs), which in turn requires accurate and fast performance prediction. However, effects such as resource contention make performance prediction in virtualized environments challenging when large numbers of possible combinations of software and hardware are considered. The key to scalability lies in finding a componentized approach that reduces the number of model degrees of freedom while still allowing high accuracy. In this work, we propose a componentized approach based on feed-forward networks that are composited from software and hardware models. Model parameter data is obtained from a machine learning technique which is fed using data generated from automatized offline performance measurements. An evaluation showed that our technology achieves a prediction accuracy close to 95% and prediction evaluation times of a few milliseconds.",10.1109/CCNC.2019.8651839,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8651839,,Load modeling;Hardware;Task analysis;Data models;Software;Servers;Resource management,,15,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,A performance analysis for a resource manager of a content aware network,2014,2014 10th International Conference on Communications (COMM),V. Poenaru; Ş. G. Obreja; R. Badea; E. Borcoci,,,1,6,"This paper presents an analysis of the performance of resource management in a distributed, multi-domain, multimedia oriented network architecture, which establishes end-to-end network pipes over a virtual network of content-aware domains. Bandwidth allocation and routing is done using a QoS optimizing algorithm with the network topology given as input, in a distributed, on-demand, manner by the other resource managers. The analysis is done in a simulated environment with all the domain managers running on one machine, but without the other elements of the complete system architecture. The purpose of the analysis is to determine if such a system is scalable over bigger networks, and how much, if the processing is in line with the amount of possible resource reservation requests of a real life usage situation, all that while discussing the current limitations of the implementation and suggesting possibilities for improvement. The resource manager, as analyzed in the paper, was designed and implemented in FP7 European project, ALICANTE.",10.1109/ICComm.2014.6866767,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6866767,QoS;resource management;distributed system;content aware networks;multimedia services,Resource management;Multimedia communication;Quality of service;Network topology;Topology;Servers;Databases,1,11,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Mobile Virtual Network Admission Control and Resource Allocation for Wireless Network Virtualization: A Robust Optimization Approach,2015,2015 IEEE Global Communications Conference (GLOBECOM),C. Liang; F. R. Yu,,,1,6,"Wireless network virtualization is a promising technology in next generation wireless networks. In this paper, motivated by the experience of user equipment (UE) admission control in traditional wireless networks, we propose a novel concept of mobile virtual network (MVN) admission control for wireless virtualization. By limiting the number of MVNs embedded in the physical network, MVN admission control can effectively guarantee quality of service (QoS) experienced by users of MVNs and maximize the utilization of the physical networks at the same time. Specifically, we propose a two-stage MVN embedding mechanism that can decouple short-term physical resource allocation from long-term admission control and resource leasing. With recent advances in robust optimization, we formulate the MVN admission control problem as a robust optimization problem. Both the long-term admission control and short- term resource allocation problems are transformed to convex problems, which can be solved efficiently. Simulation results are presented to show the effectiveness of the proposed scheme.",10.1109/GLOCOM.2015.7417760,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7417760,,Admission control;Resource management;Indium phosphide;III-V semiconductor materials;Virtualization;Mobile computing;Mobile communication,6,24,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,Efficient Modeling and Demand Allocation for Differentiated Cloud Virtual-Network as-a Service Offerings,2016,IEEE Transactions on Cloud Computing,B. Wanis; N. Samaan; A. Karmouch,4,4,376,391,"Cloud clients (CCs) of current distributed cloud applications are still not assured of their service quality, in particular, in terms of the experienced latency. Unfortunately, this is mainly attributed to the unpredictability of the communication links among their hosting distributed data centers. To address this problem, this article introduces a novel virtual-network-as-a-service (VNaaS) model to host these applications. In contrast to existing randomly or statically provisioned inter-data centers bandwidth sharing models, the proposed model allows CCs to accurately express their varying network resources needs, demand constraints and tolerance to the cloud latency. In turn, the model maps these requirements to create inter-data centers virtual links hosting each multiple virtual pipes with differentiated service qualities to carry the CC's various traffic flows. To aid the CCs in optimally determining their VNaaS demands, given the budget constraints of their hosted applications, we also develop a novel demand selection scheme based on a two stage-budget allocation mechanism. In the first budgeting stage, the CC calculates an optimal effective service rate for each of its virtual link along with a corresponding link budget and price index. In the second stage, the virtual link budget is distributed to purchase bandwidth for the link's virtual pipes, each with a given service quality and pricing. We then extend the proposed model to allow the CC to enforce any required virtual links' capacity constraints on the effective service rates resulting from the traffic matrix on the VNaaS. Finally, we develop corresponding differentiated VNaaS pricing and service monitoring mechanisms that can be employed by the cloud service provider (CSP) to regulate the offerings and demands of the distributed cloud services. Performance evaluation results demonstrate the significant improvement in the service quality, the higher utilization of the cloud resources and the increase in the CSP's net profit.",10.1109/TCC.2015.2389814,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7005454,Distributed cloud computing;network virtualization;inter-data centers communication;resource pricing,Bandwidth;Distributed processing;Resource management;Pricing;Cloud computing;Distributed databases;Virtualization,8,49,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,An Energy Efficient Embedding Algorithm for Multi-Domain Virtual Network Embedding,2018,2018 IEEE Globecom Workshops (GC Wkshps),H. Cao; Y. Guo; S. Wu; H. Zhu; L. Yang,,,1,5,"Network virtualization (NV) is one fundamental attribute of the next generation network. Virtual network embedding (VNE) is about the resource allocation in NV topic. Researchers have proposed multiple embedding algorithms since 2008. Preceding algorithms try to accept more virtual networks (VNs) in one underlying substrate network (SN) and maximize embedding revenue. As energy cost accounts for approximately half whole network cost, it is essential for Internet service providers to optimize energy cost. In addition, in real networking environment, it is vital to embed VNs among multiple SNs, geographically distributed in different regions. To solve both issues, we firstly propose the Multi-Domain VNE problem model and formal energy cost model for VNE. Then, we present a two-stage and energy efficient algorithm (EEMD-VNE-T), aiming at optimizing energy cost. Meanwhile, the EEMD-VNE-T is able to embed each VN among multiple SNs in polynomial time. Preliminary results reveal that EEMD-VNE-T significantly reduces the energy cost by roughly 8.7% over two representative energy algorithms.",10.1109/GLOCOMW.2018.8644196,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8644196,Virtual network embedding;optimize energy cost;multiple substrate networks;efficient algorithm,Substrates;Bandwidth;Approximation algorithms;Propagation delay;Indium phosphide;III-V semiconductor materials;Manganese,,18,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC5,Energy-Efficient Machine-to-Machine (M2M) Communications in Virtualized Cellular Networks with Mobile Edge Computing (MEC),2019,IEEE Transactions on Mobile Computing,M. Li; F. R. Yu; P. Si; Y. Zhang,18,7,1541,1555,"With an increasing number of machine-type communication devices (MTCDs), machine-to-machine (M2M) communications have attracted great attentions from both academia and industry. Different from traditional communication networks, the data connections with M2M communications are typically small-sized but with high frequency, necessitating the efficiency optimization of both energy consumption and computation. In this paper, we introduce mobile edge computing (MEC) into virtualized cellular networks with M2M communications, to decrease the energy consumption and optimize the computing resource allocation as well as improve computing capability. Moreover, based on different functions and quality of service (QoS) requirements, the physical network can be virtualized into several virtual networks, and then each MTCD selects the corresponding virtual network to access through the embedded-SIM (eSIM) technology. Meanwhile, the random access process of MTCDs is formulated as a partially observable Markov decision process (POMDP) to minimize the system cost, which consists of both the energy consumption and execution time of computing tasks. Furthermore, to facilitate the network architecture integration, software-defined networking (SDN) is introduced to deal with the diverse protocols and standards in the networks. Extensive simulation results with different system parameters reveal that the proposed scheme could significantly improve the system performance compared to the existing schemes.",10.1109/TMC.2018.2865312,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8434337,Machine-to-machine communications;energy consumption;mobile edge computing;wireless network virtualization;software-defined networking,Machine-to-machine communications;Energy consumption;Quality of service;Task analysis;Cloud computing;Servers;Cellular networks,1,42,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC5,Green Machine-to-Machine Communications with Mobile Edge Computing and Wireless Network Virtualization,2018,IEEE Communications Magazine,M. Li; F. R. Yu; P. Si; Y. Zhang,56,5,148,154,"With the explosive growth of machine-type communication devices (MTCDs), both academia and industry are paying more attention to M2M communications. In this article, we introduce mobile edge computing into virtualized cellular networks with M2M communications to decrease energy consumption and optimize computing resource allocation. Moreover, based on different functions and QoS requirements, the physical network can be virtualized into several virtual networks; then each MTCD selects the corresponding virtual network to access through the embedded subscriber identity module (eSIM) technology. Meanwhile, the random access process of MTCDs is formulated as a partially observable Markov decision process to minimize the system cost, which consists of both energy consumption and execution time of computing tasks. Furthermore, to facilitate the network architecture integration, software-defined networking is introduced to deal with the diverse protocols and standards in M2M networks. Extensive simulation results with different system parameters reveal that the proposed scheme could significantly improve the system performance compared to the existing schemes.",10.1109/MCOM.2018.1601005,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8360866,,Machine-to-machine communications;Servers;Task analysis;Cellular networks;Quality of service;Cloud computing;Edge computing;Green products,7,15,IEEE Magazines,,,,,,,,,,,,,,,,,,,,,,,,,
EC5,Energy-efficient M2M communications with mobile edge computing in virtualized cellular networks,2017,2017 IEEE International Conference on Communications (ICC),M. Li; F. R. Yu; P. Si; H. Yao; E. Sun; Y. Zhang,,,1,6,"As an important part of the Internet-of-Things (IoT), machine-to-machine (M2M) communications have attracted great attention. In this paper, we introduce mobile edge computing (MEC) into virtualized cellular networks with M2M communications, to decrease the energy consumption and optimize the computing resource allocation as well as improve computing capability. Moreover, based on different functions and quality of service (QoS) requirements, the physical network can be virtualized into several virtual networks, and then each MTCD selects the corresponding virtual network to access. Meanwhile, the random access process of MTCDs is formulated as a partially observable Markov decision process (POMDP) to minimize the system cost, which consists of both the energy consumption and execution time of computing tasks. Furthermore, to facilitate the network architecture integration, software-defined networking (SDN) is introduced to deal with the diverse protocols and standards in the networks. Extensive simulation results with different system parameters reveal that the proposed scheme could significantly improve the system performance compared to the existing schemes.",10.1109/ICC.2017.7996496,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7996496,Machine-to-machine (M2M) communications;mobile edge computing (MEC);wireless network virtualization,Machine-to-machine communications;Energy consumption;Servers;Computational modeling;Cellular networks;Wireless communication,7,26,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC1,"An analytical approach for estimating optimal multi-layer network cost, exploiting the flexible-grid optical technology",2013,Bell Labs Technical Journal,A. Paparella; R. Gemelli,18,3,231,250,"In this paper we provide analytical insights for dimensioning a multi-layer network and in particular the virtual optical transport network topology exported to the packet client layer according to cost and power consumption. A new approach is described, approximating optimum routing, that can be effectively used to provide an estimation of network cost and reference architectures in network implementations. Results using this estimation approach are compared with those obtained using other estimation approaches regarding bandwidth allocation and network costs. We found that the approximated routing calculations, applied on a virtual network topology, do not significantly penalize the accuracy of the results. This approach can be extended to analyze the impact of new a optical networking technique, flexible-grid wavelength division multiplexing (WDM), providing some insights regarding scenarios in which migration from fixed-grid WDM systems to flexible-grid WDM systems would be advantageous in terms of capital cost and power consumption.",10.1002/bltj.21636,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6772719,,Network topology;Nonlinear optics;Wavelength division multiplexing;Adaptive optics;Optical network units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Dynamic slicing approach for multi-tenant 5G transport networks [invited],2018,IEEE/OSA Journal of Optical Communications and Networking,M. R. Raza; M. Fiorani; A. Rostami; P. Öhlen; L. Wosinska; P. Monti,10,1,A77,A90,"Software defined networking allows network providers to share their physical network (PN) among multiple tenants by means of network slicing, where several virtual networks (VNs) are provisioned on top of the physical one. In this scenario, PN resource utilization can be improved by introducing advanced orchestration functionalities that can intelligently assign and redistribute resources among the slices of different tenants according to the temporal variation of the VN resource requirements. This is a concept known as dynamic slicing. This paper presents a solution for the dynamic slicing problem in terms of both mixed integer linear programming formulations and heuristic algorithms. The benefits of dynamic slicing are compared against static slicing, i.e., an approach without intelligent adaptation of the amount of resources allocated to each VN. Simulation results show that dynamic slicing can reduce the VN rejection probability by more than 1 order of magnitude compared to static slicing. This can help network providers accept more VNs into their infrastructure and potentially increase their revenues. The benefits of dynamic slicing come at a cost in terms of service degradation (i.e., when not all the resources required by a VN can be provided), but the paper shows that the service degradation level introduced by the proposed solutions is very small.",10.1364/JOCN.10.000A77,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8273270,5G transport;Dynamic slicing;IP over WDM;Multi-tenant networks;Network virtualization;Software defined networking,Heuristic algorithms;Optical fiber networks;Dynamic scheduling;Network slicing;Optical fibers,9,,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,SDN-Based Framework for Infrastructure as a Service Clouds,2016,2016 IEEE 9th International Conference on Cloud Computing (CLOUD),H. Amarasinghe; A. Karmouch,,,782,789,"Infrastructure as a service (IaaS) has attracted significant attention from cloud research communities. While compute and storage resource management has been developed and studied to a greater extent, the use of network resource management in the context of IaaS is still in its early stages. There is a need for a comprehensive virtualization framework capable of providing users with low-level network and compute resource control while improving underlying resource utilization. We propose a Software-Defined Networking (SDN) IaaS framework that explicitly integrates network virtualization, including computing and storage, into a cloud platform. Our proposed framework abstracts data-center compute and network resources into a virtualized pool of resources, links them to logically compose virtual networks, and performs automated configurations to serve IaaS requests from users. We designed and constructed an SDN test-bed to verify the operation of the proposed framework. We successfully demonstrated our system's ability to meet our design objectives: (i) providing high degree of control over connectivity and Quality of Service (QoS), (ii) fully automated service delivery, (iii) fast and low overhead resource provisioning. We evaluated the feasibility and scalability of the proposed framework using statistics gathered from its deployment.",10.1109/CLOUD.2016.0108,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7820345,Cloud Computing;Composition;Infrastructure-as-a-Service;Network virtualization;Resource Management;Software-defined-networking,Cloud computing;Resource management;Virtualization;Network topology;Topology;Quality of service;Complexity theory,1,23,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC1,On the benefit of collocation in virtual network embeddings,2012,2012 IEEE 1st International Conference on Cloud Networking (CLOUDNET),C. Fuerst; S. Schmid; A. Feldmann,,,161,163,"This paper attends to the problem of optimizing the resource allocation in data centers or cloud networks. Our work is motivated by the observation that existing virtual network (VNet) embedding algorithms typically waste link resources by embedding communicating virtual nodes to remote locations in the substrate. A simple alternative VNet embedding algorithm LOCO is proposed which seeks to automatically collocate communicating virtual nodes. We compare the performance of LOCO to the SecondNet [4] algorithm in different scenarios, and find that LOCO can often improve the resource efficiency.",10.1109/CloudNet.2012.6483675,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6483675,,,2,7,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Virtual Network Embedding Algorithm via Diffusion Wavelet,2019,IEEE Access,L. Zhuang; S. Tian; M. He; G. Wang; W. Liu; L. Ma,7,,134145,134157,"The great success of the Internet has promoted the development of digital industries and increased the demand for communication bandwidth. For example, ultrahigh-definition videos and vehicle networks require fast bandwidth speed and increase network connection density, respectively. High-bandwidth and high-density parallel communication drive the rapid development of network virtualization and 5G/6G technology. In a network virtualization environment, this new demand also brings new link resource allocation difficulties in existing substrate networks. To solve this far-reaching problem, this paper proposes a virtual network embedding algorithm via diffusion wavelet (VNE_DW), which is an unsupervised structure learning algorithm. Through the diffusion wavelet, the topology structure of nodes, connection density, and link volume among the nodes are comprehensively evaluated. Nodes that facilitate the link mapping success rate are preferentially selected. Experimental results demonstrate that the mapping success rate and revenue-cost ratio of VNE_DW outperform other state-of-the-art algorithms with high bandwidth and density.",10.1109/ACCESS.2019.2940971,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835914,Virtual network embedding;diffusion wavelet;topology structure;link bandwidth;connection density,Substrates;Topology;Machine learning algorithms;Network topology;Bandwidth;Heuristic algorithms;Virtualization,,39,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Cost-Efficient Mapping for Fault-Tolerant Virtual Networks,2015,IEEE Transactions on Computers,A. Jarray; A. Karmouch,64,3,668,681,"Network virtualization provides more flexibility in network provisioning as it offers physical infrastructure providers (PIP) the possibility of smoothly rolling out many separate networks on top of an existing infrastructure. A major challenge is the embedding problem of mapping virtual networks (VNs) onto PIP infrastructure. In the literature, a good deal of research has focused on providing heuristic approaches to this NP-hard problem, usually with the assumption that the PIP infrastructure is operational at all times. In virtualization environment, a single physical node/link failure can result in one or more logical link failures as it effects all VNs with a mapping that spans over. Setting up a dedicated backup for each VN embedding that is not shared with others is an inefficient use of resources. To address these concerns, this paper proposes two classes of periodic VN protection against link and node failures: (a) in the physical layer, by using a path or segment p-cycle technique and a column generation optimization model, and (b) in the VN layer, by augmenting the topology with redundant resources and subsequently applying a column generation mapping model. Our simulations show a clear advantage of our approaches over benchmarks in terms of PIP profit, backup cost/rate and resource use.",10.1109/TC.2013.2295612,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6690142,Virtual network;embedding;fault-tolerance;physical protection;logical protection;physical link failure;physical node failure;logical link failure;$p$ -cycle;column generation;integer linear programming,Substrates;Quality of service;Fault tolerance;Fault tolerant systems;Topology;Physical layer;Virtualization,17,41,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC3,Proactive Service Orchestration with Deadline,2019,2019 IEEE Conference on Network Softwarization (NetSoft),M. Nguyen; M. Dolati; M. Ghaderi,,,369,377,"In network function virtualization, network services are implemented as service function chains (SFCs). An extensive body of work exists on SFC orchestration, although a vast majority of them consider reactive algorithms that reprovision resources in response to service demand fluctuations. As such, they result in unpredictable and often significant delays that negatively affect the performance of delay-sensitive SFCs. In this paper, we consider proactive SFC orchestration and develop exact and approximate algorithms that perform well under general service demands without requiring frequent resource reprovisioning. Specifically, we first formulate SFC orchestration with deadline as a mixed integer non-linear program and show that it can be reduced to a second-order cone program, which can be solved using standard optimization software, albeit for small problem instances. We then design an approximate algorithm for large problem instances by applying iterative rounding and variable fixing techniques to the exact problem formulation. We present extensive model-driven simulation results to study the behavior of our algorithms in small and large problem instances and demonstrate their ability to achieve any desired provisioning-reprovisioning trade-off. We further compare the performance of our approximate algorithm against two recently proposed algorithms called FFCA and MaxZ.",10.1109/NETSOFT.2019.8806703,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8806703,,Approximation algorithms;Servers;Delays;Computational modeling;Energy consumption;Load modeling;Clustering algorithms,3,28,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC5,On the Feasibility of 5G Slice Resource Allocation With Spectral Efficiency: A Probabilistic Characterization,2019,IEEE Access,J. J. Escudero-Garzás; C. Bousoño-Calzón; A. García,7,,151948,151961,"An important concern that 5G networks face is supporting a wide range of services and use cases with heterogeneous requirements. Radio access network (RAN) slices, understood as isolated virtual networks that share a common infrastructure, are a possible answer to this very demanding scenario and enable virtual operators to provide differentiated services over independent logical entities. This article addresses the feasibility of forming 5G slices, answering the question of whether the available capacity (resources) is sufficient to satisfy slice requirements. As spectral efficiency is one of the key metrics in 5G networks, we introduce the minislot-based slicing allocation (MISA) model, a novel 5G slice resource allocation approach that combines the utilization of both complete slots (or physical resource blocks) and mini-slots with the adequate physical layer design and service requirement constraints. We advocate for a probabilistic characterization that allows to estimate feasibility and characterize the behavior of the constraints, while an exhaustive search is very computationally demanding and the methods to check feasibility provide no information on the constraints. In such a characterization, the concept of phase transition allows for the identification of a clear frontier between the feasible and infeasible regions. Our method relies on an adaptation of the Wang-Landau algorithm to determine the existence of, at least, one solution to the problem. The conducted simulations show a significant improvement in spectral efficiency and feasibility of the MISA approach compared to the slot-based formulation, the identification of the phase transition, and valuable results to characterize the satisfiability of the constraints.",10.1109/ACCESS.2019.2947992,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8873556,5G slice;resource allocation;feasibility;phase transition;Wang-Landau algorithm,Resource management;5G mobile communication;Indium phosphide;III-V semiconductor materials;Probabilistic logic;Optimization,,83,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC5,System architecture and key technologies for 5G heterogeneous cloud radio access networks,2015,IEEE Network,M. Peng; Y. Li; Z. Zhao; C. Wang,29,2,6,14,"Compared with fourth generation cellular systems, fifth generation wireless communication systems are anticipated to provide spectral and energy efficiency growth by a factor of at least 10, and the area throughput growth by a factor of at least 25. To achieve these goals, a H-CRAN is presented in this article as the advanced wireless access network paradigm, where cloud computing is used to fulfill the centralized large-scale cooperative processing for suppressing co-channel interferences. The state-of-the-art research achievements in the areas of system architecture and key technologies for H-CRANs are surveyed. Particularly, Node C as a new communication entity is defined to converge the existing ancestral base stations and act as the base band unit pool to manage all accessed remote radio heads. Also, the software-defined H-CRAN system architecture is presented to be compatible with software-defined networks. The principles, performance gains, and open issues of key technologies, including adaptive large-scale cooperative spatial signal processing, cooperative radio resource management, network function virtualization, and self-organization, are summarized. The major challenges in terms of fronthaul constrained resource allocation optimization and energy harvesting that may affect the promotion of H-CRANs are discussed as well.",10.1109/MNET.2015.7064897,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7064897,,Computer architecture;Signal processing;Interference;Cloud computing;Quality of service;Radio access networks;Resource management;5G mobile communication,237,14,IEEE Magazines,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Network Virtualization Resource Allocation and Economics Based on Prey–Predator Food Chain Model,2018,IEEE Transactions on Communications,R. A. Banez; H. Xu; N. H. Tran; J. B. Song; C. S. Hong; Z. Han,66,10,4738,4752,"Network virtualization (NV) allows multiple heterogeneous virtual networks (VNs) to coexist and operate over the same physical network (PN) infrastructures. Some of the benefits of this advancement include flexibility in VN topologies, heterogeneity in VN technologies, and modularity of network operations. However, there are a few areas, such as resource allocation and economics, which challenge the implementation of NV. In this paper, we first introduce some NV parameters that influence the resource allocation and economics of an NV system. Next, we formulate an economic model for NV using the prey-predator food chain model. This model takes into account the dynamics in an NV system, such as the service, payoff, failure, and competition rates within each VN and PN. The solution point to this model represents the resource strategy of the service provider (SP) given the number of users trying to use its VN, as well as the resource strategy of the infrastructure provider (InP) given the strategy of the VN leasing its PN. In addition, we establish economic models that relate the capacities of the end users, the SP, and the InP. Finally, we provided simulations that show how the prey-predator food chain model fits well on an NV system.",10.1109/TCOMM.2018.2843367,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8371297,Networks;economics;modeling;resource management,Indium phosphide;III-V semiconductor materials;Economics;Resource management;Bandwidth;Games;Mathematical model,,33,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
